prompt;n;size;created;url_img;destfile
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-hPJWb4t1Nz0YrKObHI4xr7B0.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=hZpCfbnLc44LeI587f/Vd/8HgiqdUOg8C2XkGwVWKSw%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-JJfB0Fcg8gpXzag30zqyMLMU.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=DGJTgQ8W76m6cgvtux%2Btcl4trfJWDc%2BIKmjWyPanL8c%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-zoFhRdhz2mSIuGX78M56E3XT.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=HfITN8dcVsPdGUToiK5trOmfKciWvFg5DTZXdYP/BaQ%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-uC4tXG76NjX8TmdkstTQBvK9.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=gPRg/rIY5K5DEI9MXy8Iq9L8zdZy2v4/K6sNOwatgMc%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-9uf4wgrAckfgaJsJKOvXknqZ.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=WKJVMhW/2TiR5R/0LXDPR3oldi/Z/Vq4vKwfVMc3wRE%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-dvMjxG00fo3FmuTpqVB6VYnr.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=UK7UnYkbUdWJr%2BRnQ0oahPZl5CQuKpwjzHh%2BmdrCj9I%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-kG74R34YioDmJwM2OSrWrpYd.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=ZYz8yNknngj51QNJZMb99H6jbD8f1mT74mwHZbZN2d8%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-V5jnihfNd0cfzxySS9TIsCvZ.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=VCDxWwYFIJU%2Bv2U%2BJJYuccuQqLE9zbITvCvECKDaE4s%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-VIlkN6DxJkmQCLVwPdhGTwTd.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=QZrGbIFmMhRaoeNgnOF3HWntxTz1qYIWp8bv7nQRPwc%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
Please generate extremely realistic portraits of people, focusing on their facial features, skin texture, and overall realism.;10;1024x1024;2022-12-03-16-56-45;https://oaidalleapiprodscus.blob.core.windows.net/private/org-NzPmYnKPtA2OfifpIfjpaaGc/user-21McymnFfhJyBoKrAOIPiG9e/img-gl2mLwspwGyEYBsL5alxNsLX.png?st=2022-12-03T13%3A56%3A45Z&se=2022-12-03T15%3A56%3A45Z&sp=r&sv=2021-08-06&sr=b&rscd=inline&rsct=image/png&skoid=6aaadede-4fb3-4698-a8f6-684d7786b067&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2022-12-03T12%3A56%3A20Z&ske=2022-12-04T12%3A56%3A20Z&sks=b&skv=2021-08-06&sig=472GgRUHXJ3jfWPPYjOMxoirpH8Zt9bJmSWF0sfm9Os%3D;how_to_use_an_api_with_R/images/dall-e-2022-12-03-16-56-45-10.png
